"word","pos","level","source"
"discuss","verb","A1","Oxford 3000"
"dish","noun","A1","Oxford 3000"
"do","auxiliary verb","A1","Oxford 3000"
"do","verb","A1","Oxford 3000"
"doctor","noun","A1","Oxford 3000"
"dog","noun","A1","Oxford 3000"
"dollar","noun","A1","Oxford 3000"
"door","noun","A1","Oxford 3000"
"down","adverb","A1","Oxford 3000"
"down","preposition","A1","Oxford 3000"
"downstairs","adverb","A1","Oxford 3000"
"draw","verb","A1","Oxford 3000"
"dress","noun","A1","Oxford 3000"
"dress","verb","A1","Oxford 3000"
"drink","noun","A1","Oxford 3000"
"drink","verb","A1","Oxford 3000"
"drive","verb","A1","Oxford 3000"
"driver","noun","A1","Oxford 3000"
"during","preposition","A1","Oxford 3000"
"dvd","noun","A1","Oxford 3000"
"each","adverb","A1","Oxford 3000"
"each","determiner","A1","Oxford 3000"
"each","pronoun","A1","Oxford 3000"
"ear","noun","A1","Oxford 3000"
"early","adjective","A1","Oxford 3000"
"early","adverb","A1","Oxford 3000"
"east","adjective","A1","Oxford 3000"
"east","adverb","A1","Oxford 3000"
"east","noun","A1","Oxford 3000"
"easy","adjective","A1","Oxford 3000"
"eat","verb","A1","Oxford 3000"
"egg","noun","A1","Oxford 3000"
"eight","number","A1","Oxford 3000"
"eighteen","number","A1","Oxford 3000"
"eighty","number","A1","Oxford 3000"
"elephant","noun","A1","Oxford 3000"
"eleven","number","A1","Oxford 3000"
"else","adverb","A1","Oxford 3000"
"email","noun","A1","Oxford 3000"
"email","verb","A1","Oxford 3000"
"end","noun","A1","Oxford 3000"
"end","verb","A1","Oxford 3000"
"enjoy","verb","A1","Oxford 3000"
"enough","adverb","A1","Oxford 3000"
"enough","determiner","A1","Oxford 3000"
"enough","pronoun","A1","Oxford 3000"
"euro","noun","A1","Oxford 3000"
"even","adverb","A1","Oxford 3000"
"evening","noun","A1","Oxford 3000"
"event","noun","A1","Oxford 3000"
"ever","adverb","A1","Oxford 3000"
"every","determiner","A1","Oxford 3000"
"everybody","pronoun","A1","Oxford 3000"
"everyone","pronoun","A1","Oxford 3000"
"everything","pronoun","A1","Oxford 3000"
"exam","noun","A1","Oxford 3000"
"example","noun","A1","Oxford 3000"
"excited","adjective","A1","Oxford 3000"
"exciting","adjective","A1","Oxford 3000"
"exercise","noun","A1","Oxford 3000"
"exercise","verb","A1","Oxford 3000"
"expensive","adjective","A1","Oxford 3000"
"explain","verb","A1","Oxford 3000"
"extra","adjective","A1","Oxford 3000"
"eye","noun","A1","Oxford 3000"
"face","noun","A1","Oxford 3000"
"fact","noun","A1","Oxford 3000"
"fall","verb","A1","Oxford 3000"
"false","adjective","A1","Oxford 3000"
"family","adjective","A1","Oxford 3000"
"family","noun","A1","Oxford 3000"
"famous","adjective","A1","Oxford 3000"
"fantastic","adjective","A1","Oxford 3000"
"far","adverb","A1","Oxford 3000"
"farm","noun","A1","Oxford 3000"
"farmer","noun","A1","Oxford 3000"
"fast","adjective","A1","Oxford 3000"
"fast","adverb","A1","Oxford 3000"
"fat","adjective","A1","Oxford 3000"
"father","noun","A1","Oxford 3000"
"favourite","adjective","A1","Oxford 3000"
"favourite","noun","A1","Oxford 3000"
"february","noun","A1","Oxford 3000"
"feel","verb","A1","Oxford 3000"
"feeling","noun","A1","Oxford 3000"
"festival","noun","A1","Oxford 3000"
"few","adjective","A1","Oxford 3000"
"few","determiner","A1","Oxford 3000"
"few","pronoun","A1","Oxford 3000"
"fifteen","number","A1","Oxford 3000"
"fifth","ordinal number","A1","Oxford 3000"
"fifty","number","A1","Oxford 3000"
"fill","verb","A1","Oxford 3000"
"film","noun","A1","Oxford 3000"
"final","adjective","A1","Oxford 3000"
"find","verb","A1","Oxford 3000"
"fine","adjective","A1","Oxford 3000"
"finish","verb","A1","Oxford 3000"
"fire","noun","A1","Oxford 3000"
"first","adverb","A1","Oxford 3000"
"first","determiner","A1","Oxford 3000"
"first","ordinal number","A1","Oxford 3000"
"fish","noun","A1","Oxford 3000"
"five","number","A1","Oxford 3000"
"flat","noun","A1","Oxford 3000"
"flight","noun","A1","Oxford 3000"
"floor","noun","A1","Oxford 3000"
"flower","noun","A1","Oxford 3000"
"fly","verb","A1","Oxford 3000"
"follow","verb","A1","Oxford 3000"
"food","noun","A1","Oxford 3000"
"foot","noun","A1","Oxford 3000"
"football","noun","A1","Oxford 3000"
"for","preposition","A1","Oxford 3000"
"forget","verb","A1","Oxford 3000"
"form","noun","A1","Oxford 3000"
"form","verb","A1","Oxford 3000"
"forty","number","A1","Oxford 3000"
"four","number","A1","Oxford 3000"
"fourteen","number","A1","Oxford 3000"
"fourth","ordinal number","A1","Oxford 3000"
"free","adjective","A1","Oxford 3000"
"friday","noun","A1","Oxford 3000"
"friend","noun","A1","Oxford 3000"
"friendly","adjective","A1","Oxford 3000"
"from","preposition","A1","Oxford 3000"
"front","adjective","A1","Oxford 3000"
"front","noun","A1","Oxford 3000"
"fruit","noun","A1","Oxford 3000"
"full","adjective","A1","Oxford 3000"
"fun","noun","A1","Oxford 3000"
"funny","adjective","A1","Oxford 3000"
"future","noun","A1","Oxford 3000"
"game","noun","A1","Oxford 3000"
"garden","noun","A1","Oxford 3000"
"geography","noun","A1","Oxford 3000"
"get","verb","A1","Oxford 3000"
"girl","noun","A1","Oxford 3000"
"girlfriend","noun","A1","Oxford 3000"
"give","verb","A1","Oxford 3000"
"glass","noun","A1","Oxford 3000"
"go","verb","A1","Oxford 3000"
"good","adjective","A1","Oxford 3000"
"goodbye","exclamation","A1","Oxford 3000"
"goodbye","noun","A1","Oxford 3000"
"grandfather","noun","A1","Oxford 3000"
"grandmother","noun","A1","Oxford 3000"
"grandparent","noun","A1","Oxford 3000"
"great","adjective","A1","Oxford 3000"
"green","adjective","A1","Oxford 3000"
"green","noun","A1","Oxford 3000"
"grey","adjective","A1","Oxford 3000"
"grey","noun","A1","Oxford 3000"
"group","noun","A1","Oxford 3000"
"grow","verb","A1","Oxford 3000"
"guess","noun","A1","Oxford 3000"
"guess","verb","A1","Oxford 3000"
"guitar","noun","A1","Oxford 3000"
"gym","noun","A1","Oxford 3000"
"hair","noun","A1","Oxford 3000"
"half","determiner","A1","Oxford 3000"
"half","noun","A1","Oxford 3000"
"half","pronoun","A1","Oxford 3000"
"hand","noun","A1","Oxford 3000"
"happen","verb","A1","Oxford 3000"
"happy","adjective","A1","Oxford 3000"
"hard","adjective","A1","Oxford 3000"
"hard","adverb","A1","Oxford 3000"
"hat","noun","A1","Oxford 3000"
"hate","verb","A1","Oxford 3000"
"have","verb","A1","Oxford 3000"
"have to","modal verb","A1","Oxford 3000"
"he","pronoun","A1","Oxford 3000"
"head","noun","A1","Oxford 3000"
"health","noun","A1","Oxford 3000"
"healthy","adjective","A1","Oxford 3000"
"hear","verb","A1","Oxford 3000"
"hello","exclamation","A1","Oxford 3000"
"hello","noun","A1","Oxford 3000"
"help","noun","A1","Oxford 3000"
"help","verb","A1","Oxford 3000"
"her","determiner","A1","Oxford 3000"
"her","pronoun","A1","Oxford 3000"
"here","adverb","A1","Oxford 3000"
"hey","exclamation","A1","Oxford 3000"
"hi","exclamation","A1","Oxford 3000"
"high","adjective","A1","Oxford 3000"
"him","pronoun","A1","Oxford 3000"
"his","determiner","A1","Oxford 3000"
"history","noun","A1","Oxford 3000"
"hobby","noun","A1","Oxford 3000"
"holiday","noun","A1","Oxford 3000"
"home","adverb","A1","Oxford 3000"
"home","noun","A1","Oxford 3000"
"homework","noun","A1","Oxford 3000"
"hope","verb","A1","Oxford 3000"
"horse","noun","A1","Oxford 3000"
"hospital","noun","A1","Oxford 3000"
"hot","adjective","A1","Oxford 3000"
"hotel","noun","A1","Oxford 3000"
"hour","noun","A1","Oxford 3000"
"house","noun","A1","Oxford 3000"
"how","adverb","A1","Oxford 3000"
"however","adverb","A1","Oxford 3000"
"hundred","number","A1","Oxford 3000"
"hungry","adjective","A1","Oxford 3000"
"husband","noun","A1","Oxford 3000"
"i","pronoun","A1","Oxford 3000"
"ice","noun","A1","Oxford 3000"
"ice cream","noun","A1","Oxford 3000"
"idea","noun","A1","Oxford 3000"
"if","conjunction","A1","Oxford 3000"
"imagine","verb","A1","Oxford 3000"
"important","adjective","A1","Oxford 3000"
"improve","verb","A1","Oxford 3000"
"in","adverb","A1","Oxford 3000"
"in","preposition","A1","Oxford 3000"
"include","verb","A1","Oxford 3000"
"information","noun","A1","Oxford 3000"
"interest","noun","A1","Oxford 3000"
"interest","verb","A1","Oxford 3000"
"interested","adjective","A1","Oxford 3000"
"interesting","adjective","A1","Oxford 3000"
"internet","noun","A1","Oxford 3000"
"interview","noun","A1","Oxford 3000"
"interview","verb","A1","Oxford 3000"
"into","preposition","A1","Oxford 3000"
"introduce","verb","A1","Oxford 3000"
"island","noun","A1","Oxford 3000"
"it","pronoun","A1","Oxford 3000"
"its","determiner","A1","Oxford 3000"
"jacket","noun","A1","Oxford 3000"
"january","noun","A1","Oxford 3000"
"jeans","noun","A1","Oxford 3000"
"job","noun","A1","Oxford 3000"
"join","verb","A1","Oxford 3000"
"journey","noun","A1","Oxford 3000"
"juice","noun","A1","Oxford 3000"
"july","noun","A1","Oxford 3000"
"june","noun","A1","Oxford 3000"
"just","adverb","A1","Oxford 3000"
"keep","verb","A1","Oxford 3000"
"key","adjective","A1","Oxford 3000"
"key","noun","A1","Oxford 3000"
"kilometre","noun","A1","Oxford 3000"
"kind","noun","A1","Oxford 3000"
"kitchen","noun","A1","Oxford 3000"
"know","verb","A1","Oxford 3000"
"land","noun","A1","Oxford 3000"
"language","noun","A1","Oxford 3000"
"large","adjective","A1","Oxford 3000"
"last","determiner","A1","Oxford 3000"
"late","adjective","A1","Oxford 3000"
"late","adverb","A1","Oxford 3000"
"later","adverb","A1","Oxford 3000"
"laugh","noun","A1","Oxford 3000"
"laugh","verb","A1","Oxford 3000"
"learn","verb","A1","Oxford 3000"
"leave","verb","A1","Oxford 3000"
"left","adjective","A1","Oxford 3000"
"left","adverb","A1","Oxford 3000"
"left","noun","A1","Oxford 3000"
"leg","noun","A1","Oxford 3000"
"lesson","noun","A1","Oxford 3000"
"let","verb","A1","Oxford 3000"
"letter","noun","A1","Oxford 3000"
"library","noun","A1","Oxford 3000"
"lie","verb","A1","Oxford 3000"
"life","noun","A1","Oxford 3000"
"light","adjective","A1","Oxford 3000"
"light","noun","A1","Oxford 3000"
"like","preposition","A1","Oxford 3000"
"like","verb","A1","Oxford 3000"
"line","noun","A1","Oxford 3000"
"lion","noun","A1","Oxford 3000"
"list","noun","A1","Oxford 3000"
"list","verb","A1","Oxford 3000"
"listen","verb","A1","Oxford 3000"
"little","adjective","A1","Oxford 3000"
"little","determiner","A1","Oxford 3000"
"little","pronoun","A1","Oxford 3000"
"live","verb","A1","Oxford 3000"
"local","adjective","A1","Oxford 3000"
"long","adjective","A1","Oxford 3000"
"long","adverb","A1","Oxford 3000"
"look","verb","A1","Oxford 3000"
"lose","verb","A1","Oxford 3000"
"lot","adverb","A1","Oxford 3000"
"lot","determiner","A1","Oxford 3000"
"lot","pronoun","A1","Oxford 3000"
"love","noun","A1","Oxford 3000"
"love","verb","A1","Oxford 3000"
"lunch","noun","A1","Oxford 3000"
"machine","noun","A1","Oxford 3000"
"magazine","noun","A1","Oxford 3000"
"main","adjective","A1","Oxford 3000"
"make","verb","A1","Oxford 3000"
"man","noun","A1","Oxford 3000"
"many","determiner","A1","Oxford 3000"
"many","pronoun","A1","Oxford 3000"
"map","noun","A1","Oxford 3000"
"march","noun","A1","Oxford 3000"
"market","noun","A1","Oxford 3000"
"married","adjective","A1","Oxford 3000"
"match","noun","A1","Oxford 3000"
"match","verb","A1","Oxford 3000"
"may","noun","A1","Oxford 3000"
"maybe","adverb","A1","Oxford 3000"
"me","pronoun","A1","Oxford 3000"
"meal","noun","A1","Oxford 3000"
"mean","verb","A1","Oxford 3000"
"meaning","noun","A1","Oxford 3000"
"meat","noun","A1","Oxford 3000"
"meet","verb","A1","Oxford 3000"
"meeting","noun","A1","Oxford 3000"
"member","noun","A1","Oxford 3000"
"menu","noun","A1","Oxford 3000"
"message","noun","A1","Oxford 3000"
"metre","noun","A1","Oxford 3000"
"midnight","noun","A1","Oxford 3000"
"mile","noun","A1","Oxford 3000"
"milk","noun","A1","Oxford 3000"
"million","number","A1","Oxford 3000"
"minute","noun","A1","Oxford 3000"
"miss","verb","A1","Oxford 3000"
"mistake","noun","A1","Oxford 3000"
"model","noun","A1","Oxford 3000"
"modern","adjective","A1","Oxford 3000"
"moment","noun","A1","Oxford 3000"
"monday","noun","A1","Oxford 3000"
"money","noun","A1","Oxford 3000"
"month","noun","A1","Oxford 3000"
"more","adverb","A1","Oxford 3000"
"more","determiner","A1","Oxford 3000"
"more","pronoun","A1","Oxford 3000"
"morning","noun","A1","Oxford 3000"
"most","adverb","A1","Oxford 3000"
"most","determiner","A1","Oxford 3000"
"most","pronoun","A1","Oxford 3000"
"mother","noun","A1","Oxford 3000"
"mountain","noun","A1","Oxford 3000"
"mouse","noun","A1","Oxford 3000"
"mouth","noun","A1","Oxford 3000"
"move","verb","A1","Oxford 3000"
"movie","noun","A1","Oxford 3000"
"much","adverb","A1","Oxford 3000"
"much","determiner","A1","Oxford 3000"
"much","pronoun","A1","Oxford 3000"
"mum","noun","A1","Oxford 3000"
"museum","noun","A1","Oxford 3000"
"music","noun","A1","Oxford 3000"
"must","modal verb","A1","Oxford 3000"
"my","determiner","A1","Oxford 3000"
"name","noun","A1","Oxford 3000"
"name","verb","A1","Oxford 3000"
"natural","adjective","A1","Oxford 3000"
"near","adjective","A1","Oxford 3000"
"near","adverb","A1","Oxford 3000"
"near","preposition","A1","Oxford 3000"
"need","verb","A1","Oxford 3000"
"negative","adjective","A1","Oxford 3000"
"neighbour","noun","A1","Oxford 3000"
"never","adverb","A1","Oxford 3000"
"new","adjective","A1","Oxford 3000"
"news","noun","A1","Oxford 3000"
"newspaper","noun","A1","Oxford 3000"
"next","adjective","A1","Oxford 3000"
"next","adverb","A1","Oxford 3000"
"next to","preposition","A1","Oxford 3000"
"nice","adjective","A1","Oxford 3000"
"night","noun","A1","Oxford 3000"
"nine","number","A1","Oxford 3000"
"nineteen","number","A1","Oxford 3000"
"ninety","number","A1","Oxford 3000"
"no","determiner","A1","Oxford 3000"
"no","exclamation","A1","Oxford 3000"
"no one","pronoun","A1","Oxford 3000"
"nobody","pronoun","A1","Oxford 3000"
"north","adjective","A1","Oxford 3000"
"north","adverb","A1","Oxford 3000"
"north","noun","A1","Oxford 3000"
"nose","noun","A1","Oxford 3000"
"not","adverb","A1","Oxford 3000"
"note","noun","A1","Oxford 3000"
"nothing","pronoun","A1","Oxford 3000"
"november","noun","A1","Oxford 3000"
"now","adverb","A1","Oxford 3000"
"number","noun","A1","Oxford 3000"
"nurse","noun","A1","Oxford 3000"
"object","noun","A1","Oxford 3000"
"o'clock","adverb","A1","Oxford 3000"
"october","noun","A1","Oxford 3000"
"of","preposition","A1","Oxford 3000"
"off","adverb","A1","Oxford 3000"
"off","preposition","A1","Oxford 3000"
"office","noun","A1","Oxford 3000"
"often","adverb","A1","Oxford 3000"
"oh","exclamation","A1","Oxford 3000"
"ok","adjective","A1","Oxford 3000"
"ok","adverb","A1","Oxford 3000"
"ok","exclamation","A1","Oxford 3000"
"old","adjective","A1","Oxford 3000"
"on","adverb","A1","Oxford 3000"
"on","preposition","A1","Oxford 3000"
"once","adverb","A1","Oxford 3000"
"one","determiner","A1","Oxford 3000"
"one","number","A1","Oxford 3000"
"one","pronoun","A1","Oxford 3000"
"onion","noun","A1","Oxford 3000"
"online","adjective","A1","Oxford 3000"
"online","adverb","A1","Oxford 3000"
"only","adjective","A1","Oxford 3000"
"only","adverb","A1","Oxford 3000"
"open","adjective","A1","Oxford 3000"
"open","verb","A1","Oxford 3000"
"opinion","noun","A1","Oxford 3000"
"opposite","adjective","A1","Oxford 3000"
"opposite","adverb","A1","Oxford 3000"
"opposite","noun","A1","Oxford 3000"
"opposite","preposition","A1","Oxford 3000"
"or","conjunction","A1","Oxford 3000"
"orange","adjective","A1","Oxford 3000"
"orange","noun","A1","Oxford 3000"
"order","noun","A1","Oxford 3000"
"order","verb","A1","Oxford 3000"
"other","adjective","A1","Oxford 3000"
"other","pronoun","A1","Oxford 3000"
"our","determiner","A1","Oxford 3000"
"out","adverb","A1","Oxford 3000"
"out","preposition","A1","Oxford 3000"
"outside","adverb","A1","Oxford 3000"
"over","adverb","A1","Oxford 3000"
"over","preposition","A1","Oxford 3000"
"own","adjective","A1","Oxford 3000"
"own","pronoun","A1","Oxford 3000"
"page","noun","A1","Oxford 3000"
"paint","noun","A1","Oxford 3000"
"paint","verb","A1","Oxford 3000"
"painting","noun","A1","Oxford 3000"
"pair","noun","A1","Oxford 3000"
"paper","noun","A1","Oxford 3000"
"paragraph","noun","A1","Oxford 3000"
"parent","noun","A1","Oxford 3000"
"park","noun","A1","Oxford 3000"
"park","verb","A1","Oxford 3000"
"part","noun","A1","Oxford 3000"
"partner","noun","A1","Oxford 3000"
"party","noun","A1","Oxford 3000"
"passport","noun","A1","Oxford 3000"
"past","adjective","A1","Oxford 3000"
"past","noun","A1","Oxford 3000"
"past","preposition","A1","Oxford 3000"
"pay","verb","A1","Oxford 3000"
"pen","noun","A1","Oxford 3000"
"pencil","noun","A1","Oxford 3000"
"people","noun","A1","Oxford 3000"
"pepper","noun","A1","Oxford 3000"
"perfect","adjective","A1","Oxford 3000"
"period","noun","A1","Oxford 3000"
"person","noun","A1","Oxford 3000"
"personal","adjective","A1","Oxford 3000"
"phone","noun","A1","Oxford 3000"
"phone","verb","A1","Oxford 3000"
"photo","noun","A1","Oxford 3000"
"photograph","noun","A1","Oxford 3000"
"phrase","noun","A1","Oxford 3000"
"piano","noun","A1","Oxford 3000"
"picture","noun","A1","Oxford 3000"
"piece","noun","A1","Oxford 3000"
"pig","noun","A1","Oxford 3000"
"pink","adjective","A1","Oxford 3000"
"pink","noun","A1","Oxford 3000"
"place","noun","A1","Oxford 3000"
"plan","noun","A1","Oxford 3000"
"plan","verb","A1","Oxford 3000"
"plane","noun","A1","Oxford 3000"
"plant","noun","A1","Oxford 3000"
"play","noun","A1","Oxford 3000"
"play","verb","A1","Oxford 3000"
"player","noun","A1","Oxford 3000"
"please","exclamation","A1","Oxford 3000"
"point","noun","A1","Oxford 3000"
"police","noun","A1","Oxford 3000"
"policeman","noun","A1","Oxford 3000"
"pool","noun","A1","Oxford 3000"
"poor","adjective","A1","Oxford 3000"
"popular","adjective","A1","Oxford 3000"
"positive","adjective","A1","Oxford 3000"
"possible","adjective","A1","Oxford 3000"
"post","noun","A1","Oxford 3000"
"post","verb","A1","Oxford 3000"
"potato","noun","A1","Oxford 3000"
"pound","noun","A1","Oxford 3000"
